Aziende_nel_Database;Settore;ATECO;Attivita;Regioni;N_uomini_dipendenti;N_donne_dipendenti;Donne_nel_CdA_(%);Donne_in_posizioni_manageriali_di_vertice_(%);Disuguaglianza_salariale_di_genere_(%);Eta_media_dipendenti_(%);Dipendenti_con_eta_30_per;Dipendenti_con_eta_30_50_per;Dipendenti_con_eta_50_per;Eta_media_in_CdA_(%);Membri_del_CdA_con_eta_30_per;Membri_del_CdA_con_eta_30_50_per;Membri_del_CdA_con_eta_50_per
2i RETE GAS;Energy;352200;;Lombardia;1825.0;397.0;375.0;115.0;9257.0;4904.0;216.0;3789.0;5995.0;477.0;0.0;55.0;45.0
AGSM AIM (ex AIM Vicenza);Utilities;351000;;Veneto;1974.0;402.0;28.0;10.0;;;3.0;43.0;54.0;;0.0;32.0;68.0
A2A;Energy;351100;;Lombardia;10412.0;2446.0;416666666666667.0;25.0;95.0;;12.0;49.0;39.0;61.0;0.0;0.0;100.0
ACEA;Energy;360000;;Lazio;5147.0;1616.0;44.0;19.0;9315.0;45.0;74.0;503.0;423.0;53.0;0.0;25.0;75.0
ACQUE VENETE;Utilities;360000;;Veneto;239.0;74.0;29.0;40.0;;;67.0;546.0;387.0;;0.0;43.0;57.0
ACINQUE (ex ACSM-AGAM SPA).;Energy;352300;;Lombardia;563.0;234.0;54.0;11.0;;;627.0;549.0;387.0;5379.0;0.0;31.0;69.0
AEFFE;Textile;563000;;Emilia Romagna;270.0;941.0;44.0;31.0;;;10.0;57.0;33.0;;0.0;11.0;89.0
AEROPORTI DI ROMA SPA;Logistics and Transport;522300;;Lazio;2328.0;1439.0;33.0;29.0;;;55.0;13.0;32.0;;;;
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA;Logistics and Transport;522300;;Emilia Romagna;263.0;242.0;44.0;24.0;1006.0;;10.0;54.0;36.0;;0.0;33.0;67.0
AGENZIA NAZIONALE PER L ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D IMPRESA SPA;Financial Services;701000;;Lazio;1385.0;1407.0;60.0;;;;17.0;58.0;25.0;59.0;0.0;0.0;100.0
AIMAG;;;;;;;;;;;;;;;;;
ALBA LEASING SPA;Financial Services;649100;;Lombardia;159.0;121.0;14.0;0.0;;;4.0;37.0;59.0;;0.0;14.0;86.0
ALIA SERVIZI AMBIENTALI SPA;Services;381100;;Toscana;1873.0;693.0;40.0;;101.0;;;;;;0.0;60.0;40.0
ALKEMY SPA;Services;702209;;Lombardia;525.0;374.0;43.0;18.0;;;30.0;64.0;6.0;;0.0;27.0;73.0
ALPERIA;Energy;701000;;Trentino-Alto Adige;891.0;320.0;;13.0;93.0;;46.0;48.0;6.0;;;;
AMPLIFON;Healthcare and Pharma;477400;;Lombardia;3666.0;9529.0;55.0;44.0;103.0;;21.0;59.0;20.0;60.0;;;
ANTARES VISION SPA;Manufacturing;260000;;lombardia;909.0;276.0;33.0;44.0;;;24.0;61.0;15.0;;0.0;33.0;67.0
AQUAFIL;Services;206000;;Trentino-Alto Adige;1888.0;856.0;44.0;34.0;;;15.0;58.0;27.0;;;;
ARNOLDO MONDADORI EDITORE;Media and Publishing;581400;;Lombardia;703.0;1197.0;42.0;36.0;80.0;;4.0;55.0;41.0;;0.0;8.0;92.0
ASCOPIAVE;Services;701000;;Veneto;402.0;111.0;43.0;8.0;;47.0;5.0;46.0;49.0;;0.0;57.0;43.0
ASSICURAZIONI GENERALI;Utilities;701000;;Lazio;41620.0;41440.0;46.0;25.0;875.0;45.0;;;30.0;;0.0;15.0;85.0
ASSIMOCO SPA;Financial Services;651200;;Lombardia;217.0;213.0;0.0;38.0;89.0;;2.0;55.0;43.0;;0.0;20.0;80.0
ASTM;Construction and Engineering;701000;;Piemonte;9280.0;3792.0;27.0;9.0;796.0;;18.0;53.0;29.0;;0.0;27.0;73.0
ATITECH;;;;;;;;;;;;;;;;;
AUTOGRILL;Food and Beverage;563000;;Lombardia;707.0;755.0;46.0;37.0;;;;;;;0.0;0.0;100.0
AUTOSTRADE PER L ITALIA SPA;Services;522120;;Lazio;7183.0;2200.0;21.0;13.0;0.0;;7.0;43.0;50.0;;0.0;50.0;50.0
AVIO;Aerospace;303009;;Lazio;976.0;171.0;55.0;3.0;95.0;;11.0;70.0;19.0;;;;
ATM;Logistics and Transport;493100;;Lombardia;9431.0;1042.0;40.0;28.0;;;8.0;55.0;37.0;;;20.0;80.0
AZIMUT HOLDING;Financial Services;642000;;Lombardia;779.0;668.0;44.0;;;;;;;;;50.0;50.0
B.F. SPA;Food and Beverage;701000;;Emilia Romagna;665.0;245.0;46.0;10.0;;;1395.0;4857.0;3747.0;;0.0;0.0;100.0
BANCA AGRICOLA POPOLARE DI RAGUSA;Banks;641910;;Sicilia;458.0;292.0;27.0;0.0;95.0;;1.0;38.0;61.0;;0.0;9.0;91.0
BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA ( inglobata in BPER);; ;;;;;;;;;;;;;;;
BANCA DI CIVIDALE SCPA - CIVIBANK;Banks;641910;;Friuli-Venezia Giulia;970.0;919.0;22.0;;;45.0;13.0;52.0;35.0;;0.0;0.0;100.0
BANCA DI CREDITO POPOLARE;Banks;641910;;Campania;328.0;186.0;20.0;0.0;928.0;52.0;;42.0;58.0;59.0;0.0;11.0;89.0
BANCA FINANZIARIA INTERNAZIONALE SPA;Banks;641910;;Veneto;289.0;298.0;125.0;15.0;8833.0;;22.0;61.0;17.0;;;;
BANCA FARMAFACTORING SPA;Banks;641910;;Lombardia;382.0;460.0;444.0;;884.0;;75.0;61.0;315.0;;0.0;22.0;78.0
BANCA GENERALI SPA;Banks;641910;;Friuli-Venezia Giulia;522.0;500.0;44.0;23.0;;45.0;;;;;;;
BANCA IFIS;Banks;641910;;Veneto;1004.0;870.0;54.0;25.0;96.0;;7.0;73.0;20.0;;0.0;31.0;69.0
BANCA MEDIOLANUM;Banks;641910;;Lombardia;6464.0;3083.0;54.0;13.0;;;11.0;70.0;19.0;60.0;0.0;0.0;100.0
BANCA MONTE DEI PASCHI DI SIENA SPA;Banks;641910;;Toscana;7866.0;8961.0;40.0;19.0;97.0;;2.0;58.0;40.0;60.0;0.0;7.0;93.0
BANCA NAZIONALE DEL LAVORO SPA;Banks;641910;;Lazio;5159.0;5098.0;23.0;35.0;92.0;4898.0;4.0;51.0;45.0;;0.0;0.0;100.0
BANCA POPOLARE DELL ALTO ADIGE;Banks;641910;;Trentino-Alto Adige;762.0;595.0;17.0;17.0;86.0;;10.0;48.0;42.0;;0.0;58.0;42.0
BANCA POPOLARE DI SONDRIO;Banks;641910;;Lombardia;2607.0;849.0;28.0;0.0;;;17.0;56.0;27.0;;0.0;3.0;97.0
